N,DIRECT,BH,FMM,OpenMP_Threads
100,0.0024704933166503906,0.0006580352783203125,0.00012826919555664062,8
200,0.0021572113037109375,0.0010883808135986328,0.00022530555725097656,8
500,0.002901315689086914,0.0027589797973632812,0.0007293224334716797,8
1000,0.005318164825439453,0.0035462379455566406,0.0013387203216552734,8
2000,0.019998550415039062,0.013441801071166992,0.003409147262573242,8
