N,Direct,Barnes-Hut,FMM
50,0.0033072948455810545,0.0005042552947998047,0.0003008842468261719
100,0.0006266593933105469,0.0006492137908935547,0.000667572021484375
200,0.002393770217895508,0.001543283462524414,0.0006420612335205078
500,0.011038446426391601,0.004646778106689453,0.002350330352783203
1000,0.038158416748046875,0.015698671340942383,0.0012946128845214844
2000,0.12480907440185547,0.02252674102783203,0.006423473358154297
