N,Direct,Barnes-Hut,FMM
500,0.007346153259277344,0.00425410270690918,0.0005817413330078125
1000,0.034871578216552734,0.006384134292602539,0.0024497509002685547
2000,0.13904309272766113,0.018740415573120117,0.002149343490600586
4000,nan,0.033365488052368164,0.0182950496673584
