step,particle_id,name,x,y,z,vx,vy,vz
7,0,Sun,-7.08089e+08,2.92821e+08,3.58899e+06,-7.38196,-15.7628,0.241691
7,1,Mercury,-4.46538e+10,5.60184e+10,4.68169e+09,-30648.9,-23937.2,2312.22
7,2,Venus,5.23525e+10,-9.36017e+10,-5.37076e+09,30096.2,17306.9,-1249.81
7,3,Earth,-1.48955e+11,8.92938e+09,-3.05454e+06,-2575.58,-29714.4,0.777221
7,4,Mars,-6.77189e+10,2.20035e+11,6.54978e+09,-22931.7,-5297.09,410.318
7,5,Jupiter,4.85117e+11,-6.11361e+11,-1.09821e+10,9458.79,8329.07,-223.223
7,6,Saturn,1.34549e+12,4.54344e+11,-4.51349e+10,-3304.55,8551.14,111.638
7,7,Uranus,2.80566e+12,-1.11976e+12,-5.01393e+10,2480.58,5619.97,-81.6637
7,8,Neptune,4.39904e+12,8.12836e+11,-8.80699e+10,-984.863,5160.24,116.581
8,0,Sun,-7.08726e+08,2.91458e+08,3.60986e+06,-7.36978,-15.7779,0.241292
8,1,Mercury,-4.72413e+10,5.38735e+10,4.87502e+09,-29207.3,-25678.8,2160.07
8,2,Venus,5.49319e+10,-9.20694e+10,-5.47663e+09,29601.1,18155.2,-1200.38
8,3,Earth,-1.49156e+11,6.36076e+09,-2.98639e+06,-2056.48,-29740.1,0.800167
8,4,Mars,-6.96975e+10,2.19568e+11,6.58497e+09,-22867.5,-5504.26,404.123
8,5,Jupiter,4.85934e+11,-6.1064e+11,-1.10013e+10,9435.4,8358.48,-222.694
8,6,Saturn,1.3452e+12,4.55082e+11,-4.51253e+10,-3315.31,8547.5,111.999
8,7,Uranus,2.80587e+12,-1.11928e+12,-5.01464e+10,2478.24,5620.9,-81.622
8,8,Neptune,4.39896e+12,8.13281e+11,-8.80598e+10,-985.989,5160.04,116.603
9,0,Sun,-7.09362e+08,2.90094e+08,3.63069e+06,-7.35754,-15.7931,0.240891
9,1,Mercury,-4.97008e+10,5.15811e+10,5.05495e+09,-27684.9,-27350.2,2001.93
9,2,Venus,5.74675e+10,-9.04644e+10,-5.57819e+09,29082.5,18989.6,-1149.96
9,3,Earth,-1.49311e+11,3.7903e+09,-2.91627e+06,-1537.52,-29756.8,0.82291
9,4,Mars,-7.16704e+10,2.19084e+11,6.61962e+09,-22801.6,-5710.6,397.907
9,5,Jupiter,4.86748e+11,-6.09916e+11,-1.10205e+10,9411.96,8387.86,-222.164
9,6,Saturn,1.34492e+12,4.55821e+11,-4.51156e+10,-3326.06,8543.86,112.359
9,7,Uranus,2.80609e+12,-1.11879e+12,-5.01534e+10,2475.91,5621.83,-81.5803
9,8,Neptune,4.39887e+12,8.13727e+11,-8.80498e+10,-987.116,5159.83,116.626
10,0,Sun,-7.09997e+08,2.88729e+08,3.65148e+06,-7.34524,-15.8083,0.240488
10,1,Mercury,-5.20253e+10,4.91474e+10,5.22095e+09,-26083.3,-28949.2,1837.97
10,2,Venus,5.99573e+10,-8.8788e+10,-5.67534e+09,28540.6,19809.6,-1098.62
10,3,Earth,-1.49421e+11,1.21878e+09,-2.84419e+06,-1018.84,-29764.6,0.845444
10,4,Mars,-7.36376e+10,2.18582e+11,6.65373e+09,-22733.9,-5916.1,391.67
10,5,Jupiter,4.8756e+11,-6.0919e+11,-1.10397e+10,9388.48,8417.22,-221.633
10,6,Saturn,1.34463e+12,4.56559e+11,-4.51058e+10,-3336.81,8540.22,112.72
10,7,Uranus,2.8063e+12,-1.1183e+12,-5.01605e+10,2473.57,5622.76,-81.5386
10,8,Neptune,4.39879e+12,8.14173e+11,-8.80397e+10,-988.243,5159.62,116.648
11,0,Sun,-7.10631e+08,2.87363e+08,3.67224e+06,-7.33287,-15.8234,0.240083
11,1,Mercury,-5.4208e+10,4.65787e+10,5.37255e+09,-24404,-30473.5,1668.36
11,2,Venus,6.23993e+10,-8.70413e+10,-5.76803e+09,27975.9,20614.4,-1046.37
11,3,Earth,-1.49487e+11,-1.35302e+09,-2.77018e+06,-500.608,-29763.3,0.867762
11,4,Mars,-7.55988e+10,2.18062e+11,6.6873e+09,-22664.5,-6120.74,385.412
11,5,Jupiter,4.8837e+11,-6.08462e+11,-1.10588e+10,9364.96,8446.55,-221.101
