step,particle_id,x,y,z,vx,vy,vz,mass
0,0,0,0,0,0,0,0,1000
0,1,-8.22436,15.6909,0.0305372,-6.63099,-3.50175,-0.0498434,0.576794
0,2,1.17088,-4.89323,-0.133713,13.69,3.23787,0.0324204,0.95378
0,3,-8.09768,3.17558,0.218711,-3.86338,-10.005,0.057719,0.993476
0,4,-5.79246,7.27858,0.153936,-8.08637,-6.49851,0.00998672,0.753803
0,5,-4.03793,12.1866,0.181028,-8.40468,-2.81415,-0.0134694,0.349455
0,6,-1.06145,5.45406,0.126647,-13.1138,-2.57716,0.0683035,0.746832
0,7,5.94957,-10.9114,-0.00279201,7.8436,4.32611,0.0118578,0.484132
0,8,-16.5612,2.7245,-0.246077,-1.26787,-7.58919,0.0461567,0.555574
0,9,-7.37876,-14.2585,0.206747,7.02121,-3.62469,0.010095,0.257237
0,10,-2.13414,9.18863,0.165246,-9.98382,-2.32737,0.0475761,0.206706
0,11,5.45717,11.2436,0.0759161,-8.09299,3.88452,-0.014776,0.352708
0,12,10.3249,-9.24261,0.14881,5.68718,6.36215,-0.0603161,0.281204
0,13,4.58187,-4.48187,0.0486581,8.76663,8.93264,0.0507811,0.365491
0,14,-4.24192,4.89869,0.155668,-9.40613,-8.09467,0.0644792,0.106592
0,15,15.4655,0.39106,0.195101,-0.23501,8.02807,0.0554183,0.245005
0,16,-8.82515,15.5885,0.10906,-6.48726,-3.71221,-0.065529,0.312113
0,17,-16.1203,11.1771,0.181833,-4.0889,-5.8787,0.0399506,0.830741
0,18,10.9672,-1.33525,-0.0988133,1.1565,9.42362,-0.0103567,0.263047
0,19,-17.8395,-1.6193,0.0758077,0.680035,-7.429,-0.0370279,0.100164
0,20,12.4831,-6.54416,0.01934,3.87423,7.48211,-0.0548363,0.694508
0,21,-8.32041,14.835,0.164824,-6.68286,-3.74046,0.00364394,0.572871
0,22,-8.39766,9.9162,-0.146166,-6.66208,-5.63554,0.0642811,0.141011
0,23,-8.26936,8.51453,-0.191477,-6.54547,-6.41376,0.0100794,0.356693
0,24,-9.4151,2.52378,0.0525495,-2.61168,-9.74617,-0.0237721,0.721219
