N,Direct,BH,FMM
500,0.0004450480143229167,0.0003864765167236328,0.00020774205525716147
1000,0.0014379024505615234,0.0006705125172932943,0.00022999445597330728
2000,nan,0.0013022422790527344,0.0003333091735839844
4000,nan,0.0024215380350748696,0.0007832845052083334
