N,Direct,BH,FMM
500,0.0004017997222642104,0.0001666794220606486,0.00026044963548580807
1000,0.0012426624695460002,0.0002916959735254447,0.0002946859846512477
2000,0.004497279723485311,0.000554185671110948,0.0006513800472021103
4000,nan,0.0017088667179147403,0.001756396455069383
8000,nan,0.004883227248986562,0.0051408807436625166
