N,Direct,BH,FMM
500,0.0007079516847928365,0.0003337000186244647,0.0002192493217686812
1000,0.00205519733329614,0.0003608319287498792,0.00034911201025048894
2000,0.007970801399399837,0.0008725440129637718,0.0008436650969088078
4000,nan,0.002310290466994047,0.0026722236846884093
8000,nan,0.007597175271560748,0.004728184702495734
