# thr direct fmm
1.000000000000000000e+00 3.799578303983435035e+01 4.330273903906345367e-02
2.000000000000000000e+00 3.806239889888092875e+01 4.182649683207273483e-02
4.000000000000000000e+00 3.804979421012103558e+01 4.312188411131501198e-02
8.000000000000000000e+00 3.829017044417560101e+01 4.123496264219284058e-02
1.600000000000000000e+01 3.871437995787709951e+01 4.073164006695151329e-02
