N,Direct,BH,FMM
500,0.00040998170152306557,0.0006830527757604917,0.004371510042498509
1000,0.003180817235261202,0.012520896581312021,0.012793362295875946
2000,0.0054478261930247145,0.039540029441316925,0.04033130034804344
4000,nan,0.1418375726789236,0.12703216262161732
8000,nan,0.45255041572575766,0.4293173061062892
