N,Direct (s),BH (s),FMM (s)
500,0.0011491775512695312,0.0006051063537597656,0.0005018711090087891
1000,0.0036339759826660156,0.0011377334594726562,0.0010638236999511719
2000,0.015000581741333008,0.0025479793548583984,0.002573251724243164
3000,0.03285813331604004,0.0038406848907470703,0.0037736892700195312
4000,0.05805230140686035,0.005201816558837891,0.005217552185058594
