# thr direct fmm
1.000000000000000000e+00 3.828747670818120241e+01 9.331055404618382454e-02
2.000000000000000000e+00 3.812214113585650921e+01 5.065554985776543617e-02
4.000000000000000000e+00 3.858331208210438490e+01 5.084126861765980721e-02
8.000000000000000000e+00 3.800858400901779532e+01 4.995593102648854256e-02
1.600000000000000000e+01 3.788366868533194065e+01 5.278596887364983559e-02
3.200000000000000000e+01 3.840065642679110169e+01 5.063764005899429321e-02
