N,Direct,BH,FMM
500,0.0007214546203613281,0.0003829797108968099,0.00017714500427246094
1000,0.001758893330891927,0.0007454554239908854,0.000257412592569987
2000,nan,0.001434326171875,0.0005473295847574869
