N,Direct,Barnes-Hut,FMM
500,0.009068489074707031,0.005772829055786133,0.0023648738861083984
1000,0.031969547271728516,0.018994808197021484,0.005837917327880859
2000,0.12131142616271973,0.03643798828125,0.008089542388916016
4000,nan,0.06253623962402344,0.023232460021972656
