N,Direct,Barnes-Hut,FMM
500,0.008582830429077148,0.002835988998413086,0.004132986068725586
1000,0.03076004981994629,0.006177186965942383,0.018273591995239258
2000,0.12371540069580078,0.013897895812988281,0.0850224494934082
4000,nan,0.03212237358093262,0.33173155784606934
