N,DIRECT,BH,FMM,OpenMP_Threads
100,0.0029180049896240234,0.0008108615875244141,0.00018167495727539062,8
200,0.00035500526428222656,0.0008809566497802734,0.0002918243408203125,8
500,0.0016241073608398438,0.002415180206298828,0.0007028579711914062,8
1000,0.002173185348510742,0.0035734176635742188,0.0015900135040283203,8
2000,0.021405935287475586,0.009176254272460938,0.003222942352294922,8
