N,BH,FMM,OpenMP_Threads
1000,0.003191232681274414,0.001405954360961914,8
2000,0.011050939559936523,0.004175424575805664,8
5000,0.021365642547607422,0.031174182891845703,8
10000,0.042700767517089844,0.06185007095336914,8
20000,0.07181453704833984,0.35982584953308105,8
