N,DIRECT,BH,FMM
100,0.00054168701171875,0.00032019615173339844,0.00015854835510253906
200,0.0008943080902099609,0.0011959075927734375,0.0002086162567138672
500,0.0035250186920166016,0.001138925552368164,0.0005102157592773438
1000,0.0058901309967041016,0.008430719375610352,0.0010132789611816406
2000,0.030367374420166016,0.0077283382415771484,0.0041904449462890625
