N,Direct,Barnes-Hut,FMM
50,0.015958786010742188,0.0009298324584960938,0.0002846717834472656
100,0.0009024143218994141,0.0007307529449462891,0.0004253387451171875
200,0.0020182132720947266,0.002759695053100586,0.000225067138671875
500,0.008076190948486328,0.006270885467529297,0.0004203319549560547
1000,0.03371691703796387,0.009516477584838867,0.0060503482818603516
2000,0.12612533569335938,0.0218050479888916,0.003143310546875
