N,Direct,Barnes-Hut,FMM
50,0.0007193088531494141,0.00037217140197753906,0.000171661376953125
100,0.00041632652282714845,0.0005922317504882812,0.00019359588623046875
200,0.0011734962463378906,0.0013349056243896484,0.0007147789001464844
500,0.009579896926879883,0.007706642150878906,0.00417780876159668
1000,0.0319819450378418,0.007711172103881836,0.02028632164001465
2000,0.12662296295166015,0.01686549186706543,0.09073448181152344
