step,particle_id,x,y,z,vx,vy,vz
0,0,-14.7621,28.4247,-10.232,0.0582028,0.00758309,0.0470849
0,1,-10.4638,-7.66853,15.9391,0.0389866,-0.0166462,0.0896046
0,2,28.95,-28.6385,4.07236,-0.0979506,-0.0703601,0.0670037
0,3,-21.0503,-24.4014,-11.6632,0.0287836,-0.0826797,-0.0459502
0,4,9.44184,-13.0177,-25.7763,0.0447328,0.0478998,0.028906
0,5,-4.25599,-12.258,-13.8296,-0.0251536,0.0270744,0.0191798
0,6,-25.3071,0.0516918,-19.9261,0.0685578,-0.0382877,0.0460126
0,7,19.8665,-21.6315,-14.3963,0.0870166,0.0781699,0.0644677
0,8,-0.73358,-2.74706,16.387,-0.0539433,-0.0913132,-0.0408973
0,9,20.1913,25.1071,-9.19126,-0.0528381,-0.00828362,-0.0224529
0,10,8.63979,-16.6447,23.2277,0.094808,-0.0795049,-0.000404113
0,11,18.0527,1.7216,-21.5062,0.0386844,0.0356431,-0.017535
0,12,-19.596,28.1755,-13.2148,-0.0288432,-0.026761,0.01284
0,13,12.3121,11.9188,4.15626,-0.0329164,-0.094192,0.0748948
0,14,29.738,6.99183,14.6465,0.0832046,-0.097387,0.0407773
0,15,-20.6808,7.0265,-16.6419,0.0637202,-0.0945968,-0.0642605
0,16,14.9569,-5.47282,-8.92608,0.045161,0.0753812,0.0896803
0,17,-12.5402,-18.9678,29.2303,-0.00164809,-0.0834512,-0.0107689
0,18,-9.36372,-7.25903,-0.0308246,0.0725918,0.0180537,0.04689
0,19,18.242,-14.8355,-22.3027,-0.0190912,0.00705752,-0.0586445
0,20,-7.26569,17.8075,5.57456,-0.0715297,-0.0874372,0.0951131
0,21,-26.0794,6.14636,12.0713,-0.0765982,0.0793233,0.00435261
0,22,6.61443,0.364889,-21.6806,0.0648793,0.070917,-0.0936097
0,23,25.4206,-9.48499,27.493,-0.0512623,0.0744254,-0.0727233
0,24,-16.4157,-9.65008,24.3021,-0.0916392,0.0277499,-0.0843455
0,25,-4.90533,20.2671,24.1695,-0.0136664,0.0602451,0.0173168
