step,total_energy,num_particles
160,8587159.02014038,994
161,8589020.47479557,994
162,8607124.46385155,994
163,8606487.84938243,994
164,8606813.56362438,994
165,8607238.52817161,994
166,8607749.89686351,994
167,8608309.99397972,994
168,8608837.54022603,994
169,8609334.37884796,994
170,8609730.93741648,994
171,8610708.87639003,994
172,8612261.72600164,994
173,8612628.13020700,994
174,8612985.00866002,994
175,8613335.47528774,994
176,8613693.94882835,994
177,8614055.59363665,994
178,8614500.03296575,994
179,8616105.39692478,994
180,8635298.67798944,994
181,8775877.55775787,994
182,8777146.28250278,994
183,8782486.86208612,994
184,8782911.64384354,994
185,8783439.53409227,994
186,8783880.07663476,994
187,8784464.94731476,994
188,8784847.14298681,994
189,8785245.67587387,994
190,8785738.23782369,994
191,8786023.68186134,994
192,8786254.89365938,994
193,8786647.41879835,994
194,8787017.94549521,994
195,8787324.62487089,994
196,8789458.22805768,994
197,8795222.21585851,994
198,8796117.25156947,994
199,8796254.42204736,994
200,8796578.03056268,994
201,8797141.99957274,994
202,8797373.29977324,994
203,8797615.05028386,994
204,8797797.13628736,994
205,8798042.07552018,994
206,8798265.73417998,994
207,8798500.18003355,994
208,8799504.36641309,994
209,8802154.95444481,994
210,8802960.79887957,994
211,8798560.61293045,994
212,8801253.34825698,994
213,8806785.50457310,994
214,8806881.87479802,994
215,8807684.08334426,994
216,8813202.73087699,994
217,8827221.15643619,994
218,8829999.32076746,994
219,8838683.26167264,994
220,8839010.16842067,994
221,8839351.84773404,994
222,8844640.50132933,994
223,8844668.11325830,994
224,8844858.76444519,994
225,8845192.78488055,994
226,8845456.58559388,994
227,8846587.60034566,994
228,8842092.15756404,994
229,8841760.67067487,994
230,8841368.85066894,994
231,8882630.10473938,994
232,8882594.35106144,994
233,8882791.56512407,994
234,8883041.36369202,994
235,8883358.29097012,994
236,8883695.35407260,994
237,8884048.30779737,994
238,8884397.40497208,994
239,8884695.93606874,994
240,8884999.50024431,994
241,8885857.19198603,994
242,8889673.60477586,994
243,8890350.43197550,994
244,8890380.34449131,994
245,8930729.39777904,994
246,8930494.87765125,994
247,8930905.70125012,994
248,8931348.77370138,994
249,8931660.71058930,994
250,8932196.04675505,994
251,8933798.76054654,994
252,8934095.08017127,994
253,8934416.97445103,994
254,8934823.68802809,994
255,8935094.71737401,994
256,8935463.00419230,994
257,8935930.62920910,994
258,8936203.15720242,994
259,8936650.74540695,994
260,8937689.04899416,994
261,8938025.59553795,994
262,8938224.33881547,994
263,8938544.25575200,994
264,8938771.35199673,994
265,8939003.45167113,994
266,8937953.98003852,994
267,8953079.34882789,994
268,8953253.85275888,994
269,8958111.31676021,994
270,8984098.13735917,994
271,8983845.77708554,994
272,8984212.52129388,994
273,8983334.99450735,994
274,8992081.51364940,994
275,8991493.40570094,994
276,8991670.67059137,994
277,8991883.16847523,994
278,8992196.45936436,994
279,8992633.24223370,994
280,8993835.23759335,994
281,8991626.91122817,994
282,9117387.90933541,994
283,9118975.60613139,994
284,9119180.94043989,994
285,9119380.44753896,994
286,9119647.45986873,994
287,9120060.41421240,994
288,9120303.63644425,994
289,9120535.65215761,994
290,9120779.90663107,994
291,9121002.30315095,994
292,9121570.94256992,994
293,9122951.74075185,994
294,9122953.92178910,994
295,9122853.67575159,994
296,9122887.55300831,994
297,9125814.37733145,994
298,9125342.92700885,994
299,9125362.93116834,994
300,9125564.67870866,994
301,9125733.58697397,994
302,9126748.13868388,994
303,9128975.57871191,994
304,9129014.13613057,994
305,9129360.07007961,994
306,9130968.12525759,994
307,9136094.89070740,994
308,9556730.12731607,994
309,10772539.87377472,994
310,10772863.35896759,994
311,10773035.42567649,994
312,10773280.06512529,994
313,10773660.80858734,994
314,10774140.89992427,994
315,10774509.12383476,994
316,10774741.75779384,994
317,10775006.34841656,994
318,10775269.85157629,994
319,10775539.58041737,994
320,10776275.12608630,994
321,10768146.61130859,994
322,10782831.92181186,994
323,10782944.87157572,994
324,10782936.52932075,994
325,10783198.48467807,994
326,10783584.49641056,994
327,10784048.02060169,994
328,10789766.00046854,994
329,10811206.76771832,994
330,10810554.30126612,994
331,10810584.56675646,994
332,10810785.36830830,994
333,10811363.35546860,994
334,10812729.93448532,994
335,10812948.28122770,994
336,10813161.91347828,994
337,10813361.71794117,994
338,10813553.41306402,994
339,10813824.38926253,994
340,10813889.99993268,994
341,10813924.05787421,994
342,10814363.37744661,994
343,10817930.57676732,994
344,10818257.15811350,994
345,10818133.08075050,994
346,10818014.99998598,994
347,10817975.56079607,994
348,10818003.82296781,994
349,10818080.70488302,994
350,10818534.18928023,994
351,10818618.83794411,994
352,10819617.97249526,994
353,10821936.15365774,994
354,10861451.36936827,994
355,10860874.67086344,994
356,10861097.99508511,994
