step,particle_id,x,y,z,vx,vy,vz
0,80,7.4198,-29.4495,-8.2786,0.00202112,0.0751904,-0.0422292
0,81,10.0376,17.5294,-2.68264,0.0989948,-0.0514337,0.0960678
0,82,-26.2617,5.07054,-0.670177,-0.0258974,-0.0569425,-0.0519703
0,83,19.4646,6.36879,2.75509,-0.0802944,-0.0398608,0.000126835
0,84,-7.30777,29.2201,-13.8969,-0.0620101,0.062768,-0.0220845
0,85,-20.412,-26.683,-23.0397,0.0676341,-0.0974599,-0.0586243
0,86,3.08285,-7.41251,-22.1677,0.0725294,-0.0202784,0.0723551
0,87,-9.18976,-7.4026,27.5796,-0.0512597,-0.0733452,0.0962399
0,88,-20.5949,-19.148,-28.6029,-0.00658367,-0.0549481,-0.0650031
0,89,-6.51255,-6.09271,26.4985,-0.0367642,0.0143779,0.0172592
0,90,21.7219,21.3721,-12.6236,-0.0957246,0.0310241,-0.0624916
0,91,-8.5128,17.7729,29.4449,0.0659419,-0.0079787,0.0367758
0,92,6.41463,-15.4594,20.3917,0.0989907,0.0923132,0.0744099
0,93,-5.38748,17.4125,28.0357,0.0961974,0.0391521,0.0597755
0,94,-25.5453,14.9279,-20.4133,0.0322673,0.0726106,-0.0499744
0,95,19.8058,5.83462,13.5765,-0.0701196,0.0516523,-0.0925233
0,96,0.0417862,-0.31478,23.0055,0.0391714,-0.0253134,0.0255986
0,97,-5.43928,28.3898,-6.27937,0.0706597,0.0231589,0.0170813
0,98,10.4346,3.3714,-18.4995,0.000119139,-0.00210346,-0.0264594
0,99,2.78828,22.7879,18.4918,0.0247154,0.0468366,-0.0140034
0,100,11.7869,-16.8932,21.022,-0.0330657,-0.0927634,-0.0665722
1,0,0,0,0,0,-10,0
1,1,13.4775,-19.1076,-20.6021,0.0492353,0.100347,-0.0782188
1,2,-21.2235,-25.6999,-14.84,-0.0523382,-0.0732304,0.0188244
1,3,-23.9027,10.0299,19.4941,-0.0658268,-0.0610764,0.0752589
1,4,7.98578,-1.83287,-9.25007,-0.0560289,-0.0255421,0.123721
1,5,22.4185,-25.3747,18.0634,0.0121145,0.0294941,-0.00277888
1,6,-15.5944,12.7176,-19.7445,0.0910554,-0.0325335,-0.00978059
