N,Direct (s),BH (s),FMM (s)
50,0.0037763118743896484,0.00023674964904785156,3.814697265625e-05
100,5.698204040527344e-05,0.00010228157043457031,6.771087646484375e-05
200,7.653236389160156e-05,0.00014257431030273438,0.0001316070556640625
500,0.0003542900085449219,0.0004696846008300781,0.0003421306610107422
1000,0.0012431144714355469,0.00066375732421875,0.0006856918334960938
2000,0.004369258880615234,0.0023872852325439453,0.001986265182495117
