N,Direct (s),BH (s),FMM (s)
500,0.01626276969909668,0.00199127197265625,0.0004520416259765625
1000,0.001026153564453125,0.0005054473876953125,0.0009474754333496094
2000,0.005867481231689453,0.0047190189361572266,0.0019447803497314453
3000,0.017470836639404297,0.002234220504760742,0.002079486846923828
4000,0.023226499557495117,0.002707958221435547,0.0029256343841552734
