N,Direct,BH,FMM
500,0.007956563960760832,0.000631880791236957,0.0006959759630262852
1000,0.021406949032098055,0.0008185577268401781,0.0012079306567708652
2000,0.057809247790525355,0.004495678469538689,0.004531204079588254
4000,nan,0.007334054137269656,0.0070201256312429905
8000,nan,0.01495451262841622,0.014742043800652027
