N,Direct,BH,FMM
500,0.00048622194056709606,0.0008818885932366053,0.00047476403415203094
1000,0.001240239633868138,0.0009639489774902662,0.0008194420176247755
2000,0.005280433998753627,0.003659384325146675,0.00357591329763333
4000,nan,0.00876988439510266,0.006877573672682047
8000,nan,0.017914319566140573,0.01552707360436519
