N,Direct,BH,FMM
50,0.0003723721019923687,5.993898957967758e-05,1.1000937471787134e-05
100,9.259100382526715e-05,6.414530798792839e-05,1.7179641872644424e-05
200,0.0002148983379205068,0.0001363356908162435,4.176143556833267e-05
500,0.0010536212163666885,0.0003263104396561782,0.0001007826067507267
