N,Direct,BH,FMM
500,0.0018213996663689613,0.0003076842986047268,4.907200733820597e-05
1000,0.0013099696176747482,0.0007143253460526466,0.00014637146765987077
2000,nan,0.001429446352024873,0.00023743867253263792
4000,nan,0.002579920614759127,0.0004668889256815116
