step,total_energy
214,-1.8839403809e+35
215,-1.8818913962e+35
216,-1.8798311387e+35
217,-1.8777595695e+35
218,-1.8756823546e+35
219,-1.8735987999e+35
220,-1.8715030409e+35
221,-1.8693950467e+35
222,-1.8672747852e+35
223,-1.8651422232e+35
224,-1.8629973265e+35
225,-1.8608400594e+35
226,-1.8586703850e+35
227,-1.8564882647e+35
228,-1.8542936583e+35
229,-1.8520849096e+35
230,-1.8498625800e+35
231,-1.8476283445e+35
232,-1.8453821532e+35
233,-1.8431239549e+35
234,-1.8408536971e+35
235,-1.8385713266e+35
236,-1.8362793444e+35
237,-1.8339771000e+35
238,-1.8316618769e+35
239,-1.8293336278e+35
240,-1.8269923063e+35
241,-1.8246378678e+35
242,-1.8222702688e+35
243,-1.8198894669e+35
244,-1.8174954200e+35
245,-1.8150880862e+35
246,-1.8126674225e+35
247,-1.8102333808e+35
248,-1.8077859152e+35
249,-1.8053249822e+35
250,-1.8028505366e+35
251,-1.8003625267e+35
252,-1.7978608935e+35
253,-1.7953455811e+35
254,-1.7928165315e+35
255,-1.7902736852e+35
256,-1.7877169811e+35
257,-1.7851463567e+35
258,-1.7825617483e+35
259,-1.7799630906e+35
260,-1.7773503175e+35
261,-1.7747298345e+35
262,-1.7721022387e+35
263,-1.7694611369e+35
264,-1.7668064717e+35
265,-1.7641381852e+35
266,-1.7614562195e+35
267,-1.7587605160e+35
268,-1.7560510159e+35
269,-1.7533276601e+35
270,-1.7505903890e+35
271,-1.7478391427e+35
272,-1.7450738608e+35
273,-1.7422944826e+35
274,-1.7395009469e+35
275,-1.7366931922e+35
276,-1.7338711563e+35
277,-1.7310347770e+35
278,-1.7281839913e+35
279,-1.7253187357e+35
280,-1.7224389467e+35
281,-1.7195445598e+35
282,-1.7166355104e+35
283,-1.7137117332e+35
284,-1.7107731625e+35
285,-1.7078197323e+35
286,-1.7048513758e+35
287,-1.7018680258e+35
288,-1.6988696148e+35
289,-1.6958560747e+35
290,-1.6928273366e+35
291,-1.6897833316e+35
292,-1.6867239899e+35
293,-1.6836492413e+35
294,-1.6805590152e+35
295,-1.6774532403e+35
296,-1.6743318449e+35
297,-1.6711947568e+35
298,-1.6680419031e+35
299,-1.6648732105e+35
300,-1.6616886052e+35
301,-1.6584880129e+35
302,-1.6552713586e+35
303,-1.6520385670e+35
304,-1.6487895620e+35
305,-1.6455242673e+35
306,-1.6422426058e+35
307,-1.6389445001e+35
308,-1.6356298720e+35
309,-1.6322986431e+35
310,-1.6289507343e+35
311,-1.6255860659e+35
312,-1.6222045577e+35
313,-1.6188061290e+35
314,-1.6153906984e+35
315,-1.6119581836e+35
316,-1.6085085019e+35
317,-1.6050415695e+35
318,-1.6015573017e+35
319,-1.5980556126e+35
320,-1.5945364151e+35
321,-1.5909996205e+35
322,-1.5874451386e+35
323,-1.5838728774e+35
324,-1.5802827431e+35
325,-1.5766746400e+35
326,-1.5730484709e+35
327,-1.5694041369e+35
328,-1.5657415384e+35
329,-1.5620605753e+35
330,-1.5583611481e+35
331,-1.5546431576e+35
332,-1.5509065063e+35
333,-1.5471510938e+35
334,-1.5433768257e+35
335,-1.5395836129e+35
336,-1.5357713634e+35
337,-1.5319399853e+35
338,-1.5280893869e+35
339,-1.5242194755e+35
340,-1.5203301570e+35
341,-1.5164213359e+35
342,-1.5144600686e+35
343,-1.5144594233e+35
344,-1.5144587878e+35
345,-1.5144581640e+35
346,-1.5144575530e+35
347,-1.5144569551e+35
348,-1.5144563703e+35
349,-1.5144557979e+35
350,-1.5144552372e+35
351,-1.5144546872e+35
352,-1.5144541469e+35
353,-1.5144536151e+35
354,-1.5144530909e+35
355,-1.5144525732e+35
356,-1.5144520612e+35
357,-1.5144515540e+35
358,-1.5144510508e+35
359,-1.5144505509e+35
360,-1.5144500538e+35
361,-1.5144495589e+35
362,-1.5144490657e+35
363,-1.5144049651e+35
364,-1.5143170786e+35
