N,BH,FMM
1000,0.002234220504760742,0.002613544464111328
2000,0.003242015838623047,0.0066258907318115234
4000,0.005859375,0.012161970138549805
8000,0.012576103210449219,0.027698278427124023
16000,0.030924081802368164,0.06657934188842773
32000,0.06550884246826172,0.14855098724365234
