N,Direct,BH,FMM
500,0.007389781375726064,0.0005507369836171468,0.0005780099891126156
1000,0.020864843390882015,0.000996678291509549,0.0008355152482787768
2000,0.059977606404572725,0.004250281645605962,0.004156502739836772
4000,nan,0.007365757599473,0.008230933298667273
8000,nan,0.015047376975417137,0.015036056439081827
